aah,3,222,5.4,0,0,0,?,19
aback,5,387,5.96,4,2,1,RB,19
abandoned,9,5160,8.55,8,3,2,VB|JJ,22
abandoning,10,1005,6.91,9,4,2,VB,19
abase,5,30,3.4,4,2,2,VB,19
abash,5,1,0,4,2,1,VB,19
abate,5,279,5.63,4,2,1,VB,19
abated,6,144,4.97,6,3,2,VB,19
abbreviate,10,203,5.31,8,4,3,VB,19
abide,5,1967,7.58,4,2,1,VB,0
abides,6,443,6.09,5,2,2,VB,19
abiding,7,1363,7.22,6,3,2,JJ|VB,19
abbreviated,11,1214,7.1,10,5,4,JJ|VB,19
abdicate,8,118,4.77,7,3,1,VB,19
abdominal,9,850,6.75,8,4,2,JJ,19
abduct,6,180,5.19,6,2,2,VB,19
abed,4,143,4.96,4,2,1,RB,19
Abel's,6,52,3.95,4,2,2,encl,19
aberrant,8,166,5.11,7,3,2,JJ,19
abet,4,81,4.39,4,2,1,VB,19
abetted,7,132,4.88,6,3,2,VB,19
abhor,5,383,5.95,5,2,1,VB,19
abhorred,8,87,4.47,6,2,2,VB,19
abhorrent,9,366,5.9,8,3,2,JJ,19
abject,6,505,6.22,6,2,1,JJ,19
ablaze,6,154,5.04,5,2,2,JJ,19
able,4,176528,12.08,3,2,1,JJ,18
ably,4,256,5.55,4,2,2,RB,19
abnormal,8,2204,7.7,7,3,3,JJ,0
abnormally,10,372,5.92,8,4,4,RB,19
abolish,7,1606,7.38,6,3,1,VB,0
abolished,9,1458,7.28,7,3,2,VB,0
abominate,9,3,1.1,8,4,2,VB,19
abort,5,2778,7.93,5,2,1,VB,0
abominable,10,473,6.16,9,5,2,JJ,19
abortive,8,213,5.36,7,3,2,JJ,19
abound,6,1065,6.97,5,2,1,VB,19
abounded,8,78,4.36,7,3,2,VB,19
abounding,9,100,4.61,7,3,2,VB,19
abounds,7,314,5.75,6,2,2,VB,19
aboveground,11,19,2.94,9,3,2,RB|JJ,19
abrasive,8,576,6.36,7,3,2,JJ,19
abreast,7,491,6.2,6,2,1,RB,19
abridged,8,797,6.68,6,2,2,VB,19
abrogate,8,100,4.61,7,3,3,VB,19
abrogated,9,128,4.85,9,4,4,VB,19
abrupt,6,719,6.58,6,2,1,JJ,19
abruptly,8,1230,7.11,8,3,2,RB,19
abscond,7,17,2.83,7,2,1,VB,19
absent,6,3019,8.01,5,2,2,JJ,0
absented,8,4,1.39,8,3,3,VB,19
absentee,8,152,5.02,6,3,3,JJ,19
absently,8,190,5.25,7,3,3,RB,19
absentmindedly,14,49,3.89,13,5,5,RB,19
absolutely,10,36965,10.52,9,4,2,RB,9
absolve,7,223,5.41,6,2,2,VB,19
absorb,6,2787,7.93,6,2,2,VB,0
absorbed,8,2954,7.99,7,2,3,VB|JJ,0
absorbent,9,193,5.26,9,3,3,JJ,19
absorbing,9,933,6.84,8,3,3,VB|JJ,19
absorbs,7,619,6.43,7,2,3,VB,19
absorptive,10,32,3.47,9,3,3,JJ,19
abstain,7,960,6.87,6,2,1,VB,19
abstinent,9,73,4.29,9,3,2,JJ,19
abstracted,10,261,5.56,10,3,3,JJ|VB,19
abstractive,11,7,1.95,10,3,0,JJ,19
abstractly,10,143,4.96,10,3,3,RB,19
abstruse,8,157,5.06,7,2,1,JJ,19
absurdly,8,316,5.76,7,3,2,RB,19
abundant,8,1381,7.23,8,3,2,JJ,0
abuse,5,25915,10.16,5,2,1,VB,29
abused,6,6038,8.71,6,2,2,VB|JJ,22
abuses,6,3312,8.11,7,3,2,VB,0
abusive,7,3526,8.17,7,3,2,JJ,0
abut,4,259,5.56,4,2,1,VB,19
abysmal,7,619,6.43,6,3,2,JJ,19
academically,12,725,6.59,10,5,3,RB,19
accede,6,149,5,5,2,2,VB,19
acceded,7,62,4.13,7,3,3,VB,19
accelerando,11,7,1.95,11,5,1,JJ|RB,19
accelerate,10,2368,7.77,9,4,3,VB,0
accelerated,11,3367,8.12,11,5,4,VB,0
accented,8,1182,7.07,8,3,2,VB|JJ,19
accentual,9,1,0,9,3,2,JJ,19
accentuate,10,161,5.08,9,4,2,VB,19
accentuated,11,193,5.26,11,5,3,VB,19
accentuates,11,57,4.04,10,4,3,VB,19
accept,6,49430,10.81,6,2,2,VB,21
acceptable,10,16372,9.7,9,4,3,JJ,15
accepted,8,33901,10.43,8,3,3,VB|JJ,9
accepting,9,7649,8.94,8,3,3,VB,22
accepts,7,4586,8.43,7,2,3,VB,22
accessible,10,10758,9.28,8,4,3,JJ,15
accidental,10,2346,7.76,9,4,3,JJ,0
accidentally,12,4432,8.4,10,5,4,RB,22
acclaimed,9,1049,6.96,6,2,2,VB|JJ,19
acclaims,8,7,1.95,6,2,2,VB,19
acclimate,9,97,4.57,7,3,2,VB,19
acclimatized,12,17,2.83,10,4,4,VB|JJ,19
accommodate,11,2454,7.81,8,4,1,VB,0
accommodated,12,301,5.71,10,5,2,VB,19
accommodates,12,136,4.91,9,4,2,VB,19
