aah,3,5.4,0,0,0
aback,5,5.96,4,2,1
abandoned,9,8.55,8,3,2
abandoning,10,6.91,9,4,2
abase,5,3.4,4,2,2
abash,5,0,4,2,1
abate,5,5.63,4,2,1
abated,6,4.97,6,3,2
abbreviate,10,5.31,8,4,3
abide,5,7.58,4,2,1
abides,6,6.09,5,2,2
abiding,7,7.22,6,3,2
abbreviated,11,7.1,10,5,4
abdicate,8,4.77,7,3,1
abdominal,9,6.75,8,4,2
abduct,6,5.19,6,2,2
abed,4,4.96,4,2,1
Abel's,6,3.95,4,2,2
aberrant,8,5.11,7,3,2
abet,4,4.39,4,2,1
abetted,7,4.88,6,3,2
abhor,5,5.95,5,2,1
abhorred,8,4.47,6,2,2
abhorrent,9,5.9,8,3,2
abject,6,6.22,6,2,1
ablaze,6,5.04,5,2,2
able,4,12.08,3,2,1
ably,4,5.55,4,2,2
abnormal,8,7.7,7,3,3
abnormally,10,5.92,8,4,4
abolish,7,7.38,6,3,1
abolished,9,7.28,7,3,2
abominate,9,1.1,8,4,2
abort,5,7.93,5,2,1
abominable,10,6.16,9,5,2
abortive,8,5.36,7,3,2
abound,6,6.97,5,2,1
abounded,8,4.36,7,3,2
abounding,9,4.61,7,3,2
abounds,7,5.75,6,2,2
aboveground,11,2.94,9,3,2
abrasive,8,6.36,7,3,2
abreast,7,6.2,6,2,1
abridged,8,6.68,6,2,2
abrogate,8,4.61,7,3,3
abrogated,9,4.85,9,4,4
abrupt,6,6.58,6,2,1
abruptly,8,7.11,8,3,2
abscond,7,2.83,7,2,1
absent,6,8.01,5,2,2
absented,8,1.39,8,3,3
absentee,8,5.02,6,3,3
absently,8,5.25,7,3,3
absentmindedly,14,3.89,13,5,5
absolutely,10,10.52,9,4,2
absolve,7,5.41,6,2,2
absorb,6,7.93,6,2,2
absorbed,8,7.99,7,2,3
absorbent,9,5.26,9,3,3
absorbing,9,6.84,8,3,3
absorbs,7,6.43,7,2,3
absorptive,10,3.47,9,3,3
abstain,7,6.87,6,2,1
abstinent,9,4.29,9,3,2
abstracted,10,5.56,10,3,3
abstractive,11,1.95,10,3,0
abstractly,10,4.96,10,3,3
abstruse,8,5.06,7,2,1
absurdly,8,5.76,7,3,2
abundant,8,7.23,8,3,2
abuse,5,10.16,5,2,1
abused,6,8.71,6,2,2
abuses,6,8.11,7,3,2
abusive,7,8.17,7,3,2
abut,4,5.56,4,2,1
abysmal,7,6.43,6,3,2
academically,12,6.59,10,5,3
accede,6,5,5,2,2
acceded,7,4.13,7,3,3
accelerando,11,1.95,11,5,1
accelerate,10,7.77,9,4,3
accelerated,11,8.12,11,5,4
accented,8,7.07,8,3,2
accentual,9,0,9,3,2
accentuate,10,5.08,9,4,2
accentuated,11,5.26,11,5,3
accentuates,11,4.04,10,4,3
accept,6,10.81,6,2,2
acceptable,10,9.7,9,4,3
accepted,8,10.43,8,3,3
accepting,9,8.94,8,3,3
accepts,7,8.43,7,2,3
accessible,10,9.28,8,4,3
accidental,10,7.76,9,4,3
accidentally,12,8.4,10,5,4
acclaimed,9,6.96,6,2,2
acclaims,8,1.95,6,2,2
acclimate,9,4.57,7,3,2
acclimatized,12,2.83,10,4,4
accommodate,11,7.81,8,4,1
accommodated,12,5.71,10,5,2
accommodates,12,4.91,9,4,2
accommodating,13,6.1,10,5,2
accompanied,11,8.4,9,4,4
accompanies,11,6.58,9,4,4
accompany,9,7.67,8,4,3
acoustic,8,8.59,7,3,2
acoustical,10,5.6,8,4,3
