aah,3,5.4,0,0,0,2
aback,5,5.96,4,2,1,2
abandoned,9,8.55,8,3,2,2
abandoning,10,6.91,9,4,2,1
abase,5,3.4,4,2,2,0
abash,5,0,4,2,1,0
abate,5,5.63,4,2,1,2
abated,6,4.97,6,3,2,2
abbreviate,10,5.31,8,4,3,1
abide,5,7.58,4,2,1,2
abides,6,6.09,5,2,2,2
abiding,7,7.22,6,3,2,2
abbreviated,11,7.1,10,5,4,1
abdicate,8,4.77,7,3,1,0
abdominal,9,6.75,8,4,2,1
abduct,6,5.19,6,2,2,2
abed,4,4.96,4,2,1,2
Abel's,6,3.95,4,2,2,0
aberrant,8,5.11,7,3,2,0
abet,4,4.39,4,2,1,2
abetted,7,4.88,6,3,2,0
abhor,5,5.95,5,2,1,2
abhorred,8,4.47,6,2,2,0
abhorrent,9,5.9,8,3,2,0
abject,6,6.22,6,2,1,2
ablaze,6,5.04,5,2,2,2
able,4,12.08,3,2,1,2
ably,4,5.55,4,2,2,2
abnormal,8,7.7,7,3,3,2
abnormally,10,5.92,8,4,4,1
abolish,7,7.38,6,3,1,2
abolished,9,7.28,7,3,2,2
abominate,9,1.1,8,4,2,0
abort,5,7.93,5,2,1,2
abominable,10,6.16,9,5,2,1
abortive,8,5.36,7,3,2,0
abound,6,6.97,5,2,1,2
abounded,8,4.36,7,3,2,0
abounding,9,4.61,7,3,2,0
abounds,7,5.75,6,2,2,2
aboveground,11,2.94,9,3,2,1
abrasive,8,6.36,7,3,2,2
abreast,7,6.2,6,2,1,2
abridged,8,6.68,6,2,2,2
abrogate,8,4.61,7,3,3,0
abrogated,9,4.85,9,4,4,1
abrupt,6,6.58,6,2,1,2
abruptly,8,7.11,8,3,2,2
abscond,7,2.83,7,2,1,0
absent,6,8.01,5,2,2,2
absented,8,1.39,8,3,3,0
absentee,8,5.02,6,3,3,0
absently,8,5.25,7,3,3,0
absentmindedly,14,3.89,13,5,5,1
absolutely,10,10.52,9,4,2,1
absolve,7,5.41,6,2,2,2
absorb,6,7.93,6,2,2,2
absorbed,8,7.99,7,2,3,2
absorbent,9,5.26,9,3,3,1
absorbing,9,6.84,8,3,3,1
absorbs,7,6.43,7,2,3,2
absorptive,10,3.47,9,3,3,1
abstain,7,6.87,6,2,1,2
abstinent,9,4.29,9,3,2,0
abstracted,10,5.56,10,3,3,1
abstractive,11,1.95,10,3,0,1
abstractly,10,4.96,10,3,3,1
abstruse,8,5.06,7,2,1,0
absurdly,8,5.76,7,3,2,0
abundant,8,7.23,8,3,2,2
abuse,5,10.16,5,2,1,2
abused,6,8.71,6,2,2,2
abuses,6,8.11,7,3,2,2
abusive,7,8.17,7,3,2,2
abut,4,5.56,4,2,1,2
abysmal,7,6.43,6,3,2,2
academically,12,6.59,10,5,3,1
accede,6,5,5,2,2,2
