abase,5,3.4,4,2,2,0,0
abash,5,0,4,2,1,0,0
abdicate,8,4.77,7,3,1,0,1
Abel's,6,3.95,4,2,2,0,0
aberrant,8,5.11,7,3,2,0,1
abetted,7,4.88,6,3,2,0,1
abhorred,8,4.47,6,2,2,0,1
abhorrent,9,5.9,8,3,2,0,1
abominate,9,1.1,8,4,2,0,2
abortive,8,5.36,7,3,2,0,1
abounded,8,4.36,7,3,2,0,1
abounding,9,4.61,7,3,2,0,1
abrogate,8,4.61,7,3,3,0,1
abscond,7,2.83,7,2,1,0,0
absented,8,1.39,8,3,3,0,2
absentee,8,5.02,6,3,3,0,1
absently,8,5.25,7,3,3,0,1
abstinent,9,4.29,9,3,2,0,1
abstruse,8,5.06,7,2,1,0,1
absurdly,8,5.76,7,3,2,0,1
acceded,7,4.13,7,3,3,0,1
accentual,9,0,9,3,2,0,2
acclaims,8,1.95,6,2,2,0,0
acclimate,9,4.57,7,3,2,0,1
accorded,8,6.33,7,3,3,0,1
accost,6,3.43,5,2,1,0,0
accosted,8,5.12,7,3,2,0,1
accredit,8,3.56,7,3,2,0,1
accrues,7,4.14,5,2,2,0,0
accurst,7,1.39,5,2,3,0,0
accustom,8,4.32,7,3,2,0,1
acerbic,7,4.33,6,3,2,0,0
acquaint,8,5.12,6,2,1,0,1
acquiesce,9,4.68,6,3,1,0,1
acquiesced,10,4.71,7,3,2,0,1
acquitted,9,6.41,7,3,3,0,1
acutely,7,5.81,7,3,2,0,1
acuteness,9,2.94,8,3,2,0,2
woollen,7,3.93,5,2,2,0,0
Woolworth's,11,4.23,7,2,0,0,1
wordless,8,4.7,6,2,2,0,1
workman's,9,4.37,7,2,3,0,1
worldshaking,12,0,9,3,0,0,2
wornout,7,2.56,6,2,3,0,0
worriedly,9,3.95,7,3,3,0,1
worrisome,9,5.46,6,3,2,0,1
worsens,7,4.71,5,2,3,0,0
worshiped,9,5.8,6,2,0,0,1
worshipful,10,4.41,7,3,2,0,1
worsted,7,3.61,6,2,2,0,0
worthiest,9,1.39,7,3,3,0,2
wouldbe,7,4.04,5,2,2,0,0
wounding,8,5.75,6,2,2,0,1
wrangled,8,3,6,2,2,0,0
wrathful,8,3.76,5,2,2,0,0
wreathe,7,2.2,3,1,1,0,0
wreathed,8,3.5,4,1,2,0,0
wrenched,8,5.12,5,1,2,0,0
wrenching,9,5.48,6,2,2,0,1
wrestler's,10,3.78,6,2,3,0,1
wrestles,8,4.5,5,2,2,0,0
wrinkly,7,4.23,6,3,2,0,0
Wyndham's,9,2.48,7,2,0,0,2
Xavier's,8,4.88,6,2,2,0,1
yachters,8,0.69,5,2,0,0,0
yearlong,8,2.77,6,2,2,0,0
yearningly,10,1.95,7,3,3,0,2
yeasty,6,3.78,5,2,2,0,0
yellowish,9,5.54,6,3,2,0,1
yelping,7,4.5,6,2,2,0,0
Yorker's,8,2.77,6,2,0,0,0
youngish,8,4.14,5,2,2,0,0
youngster's,11,3.71,7,2,0,0,2
zealously,9,5.24,7,3,3,0,1
zodiacal,8,4.69,8,3,2,0,1
where're,8,3.14,5,2,2,0,0
wherewith,9,3.89,7,2,2,0,1
whetted,7,4.01,6,2,2,0,0
whimsical,9,5.81,8,3,2,0,1
whinnied,8,2.3,6,2,2,0,0
whip's,6,2.64,5,1,2,0,0
whirlwind's,11,0,9,2,3,0,2
whiskered,9,2.64,7,2,2,0,2
whisking,8,4.01,7,2,2,0,1
whistled,8,5.65,6,2,2,0,1
whistling,9,6.62,7,3,2,0,1
whitehaired,11,0,8,2,3,0,2
whitehead's,11,3.47,7,2,0,0,2
whiten,6,4.36,5,2,2,0,0
whitened,8,5.02,6,2,3,0,1
whitens,7,0,6,2,3,0,0
Whitman's,9,4.53,7,2,0,0,1
whizzed,7,3.81,5,1,2,0,0
whizzing,8,4.94,6,2,2,0,1
wholemeal,9,4.19,6,2,2,0,1
wholewheat,10,2.56,6,2,0,0,2
why've,6,0,0,0,0,0,0
wickedly,8,5.72,7,3,2,0,1
