Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,POS
abed,4,143,4.96,4,2,1,RB
Abel,4,1009,6.92,3,2,1,NN
Aaron,5,10806,9.29,4,2,1,NN
aback,5,387,5.96,4,2,1,RB
abacus,6,513,6.24,6,3,1,NN
abandon,7,3761,8.23,7,3,1,VB|NN
abandoned,9,5160,8.55,8,3,2,VB|JJ
abandoning,10,1005,6.91,9,4,2,VB
abandonment,11,786,6.67,11,4,2,NN
abase,5,30,3.4,4,2,2,VB
abasement,9,7,1.95,8,3,3,NN
abash,5,1,0,4,2,1,VB
abate,5,279,5.63,4,2,1,VB
abated,6,144,4.97,6,3,2,VB
abbess,6,33,3.5,4,2,1,NN
abbey,5,2286,7.73,3,2,1,NN
abbot,5,616,6.42,4,2,1,NN
abbreviate,10,203,5.31,8,4,3,VB
abide,5,1967,7.58,4,2,1,VB
abides,6,443,6.09,5,2,2,VB
abiding,7,1363,7.22,6,3,2,JJ|VB
Abigail,7,693,6.54,6,3,1,NN
abbreviated,11,1214,7.1,10,5,4,JJ|VB
abbreviation,12,1908,7.55,9,5,4,NN
abbreviations,13,2480,7.82,10,5,5,NN
abdicate,8,118,4.77,7,3,1,VB
abdomen,7,1279,7.15,7,3,1,NN
abdominal,9,850,6.75,8,4,2,JJ
abduct,6,180,5.19,6,2,2,VB
abduction,9,1995,7.6,7,3,3,NN
abet,4,81,4.39,4,2,1,VB
able,4,176528,12.08,3,2,1,JJ
ably,4,256,5.55,4,2,2,RB
Abel's,6,52,3.95,4,2,2,encl
aberrant,8,166,5.11,7,3,2,JJ
aberration,10,556,6.32,7,4,3,NN
aberrations,11,299,5.7,8,4,4,NN
abut,4,259,5.56,4,2,1,VB
abetted,7,132,4.88,6,3,2,VB
abeyance,8,36,3.58,6,2,2,NN
abhor,5,383,5.95,5,2,1,VB
abhorred,8,87,4.47,6,2,2,VB
abhorrent,9,366,5.9,8,3,2,JJ
abilities,9,9029,9.11,8,4,3,NN
ability,7,56922,10.95,7,4,2,NN
abject,6,505,6.22,6,2,1,JJ
ablaze,6,154,5.04,5,2,2,JJ
aces,4,1837,7.52,4,2,2,NN
ache,4,846,6.74,2,1,1,VB|NN
abnormal,8,2204,7.7,7,3,3,JJ
