ALFA,4,6.74,4,2,NN
aback,5,5.96,4,2,RB
abaft,5,2.56,5,2,RB|minor
algebras,8,5.05,8,3,NN
ALGER,5,5.3,4,2,NN
ALGINATES,9,1.1,NULL,NULL,NULL
ALGOL,5,5.94,5,2,NN
abandon,7,8.23,7,3,VB|NN
algorithms,10,9.12,10,4,NN
ALIAH,5,0,NULL,NULL,NULL
aliases,7,8.1,7,3,NN
abandoned,9,8.55,8,3,VB|JJ
alienist,8,2.71,8,3,NN
alienists,9,1.1,9,3,NN
ALIENUS,7,0.69,NULL,NULL,NULL
abandoning,10,6.91,9,4,VB
abandons,8,5.2,8,3,VB
abase,5,3.4,4,2,VB
abased,6,1.79,5,2,VB
allegros,8,0.69,7,3,NN
abases,6,2.2,6,3,VB
aliments,8,2.83,8,3,NULL
ALIQUOTS,8,3.14,8,3,NN
ALISON,6,7.85,5,3,NN
abash,5,0,4,2,VB
ALIX,4,4.89,5,2,NULL
ALIX'S,6,0,8,4,NULL
ALIZARIN,8,1.95,8,4,NN
ALKALOIDS,9,5.57,8,3,NN
ALKYLARYSULFONATE,17,0,NULL,NULL,NULL
ALKYLBENZENESULFONATES,22,0,NULL,NULL,NULL
ALLA,4,8.73,4,2,NN
abashed,7,3.74,5,2,JJ
abashes,7,0,6,3,VB
abashing,8,0,6,3,VB|NN|JJ
abasing,7,2.08,6,3,VB|NN
ALLEGHENIES,11,0.69,NULL,NULL,NULL
ALLEGHENY,9,5.95,7,4,NN
abate,5,5.63,4,2,VB
allegories,10,4.06,8,4,NN
ALLEGRETTI,10,1.61,8,4,NULL
allegrettos,11,0,9,4,NN
alleluias,9,0.69,8,4,NN
ALLEMANDS,9,3.93,NULL,NULL,NULL
allergens,9,5.01,7,3,NN
abated,6,4.97,6,3,VB
abates,6,3.04,5,2,VB
alligators,10,5.47,8,4,NN
abating,7,3.95,6,3,VB
abbreviate,10,5.31,8,4,VB
abbreviated,11,7.1,10,5,JJ|VB
abbreviates,11,2.94,9,4,VB
abbreviating,12,3.4,10,5,VB|NN|JJ
abdicate,8,4.77,7,3,VB
ALLONS,6,4.28,5,2,NULL
allopathical,12,0,NULL,NULL,NULL
abdicated,9,4.53,9,4,VB
abdicates,9,2.89,8,3,VB
abdicating,10,3.71,9,4,VB|NN|JJ
abdominal,9,6.75,8,4,JJ
abduct,6,5.19,6,2,VB
ALLSO,5,4.16,NULL,NULL,NULL
ALLSTATES,9,0,7,2,NULL
abducted,8,6.81,8,3,VB
allurements,11,1.61,9,3,NN
allures,7,4.92,5,2,NN
abducting,9,4.97,8,3,VB|NN|JJ
alluvia,7,0,NULL,NULL,NULL
abducts,7,3.22,7,2,VB
alluvium,8,1.95,7,3,NN
alluviums,9,0,8,3,NN
abeam,5,3.18,4,2,RB
ALMA,4,7.23,4,2,NN
ALMADEN,7,5.56,7,3,NN
ALMAGEST,8,2.3,8,3,NN
almanacs,8,5.55,8,3,NN
almoner,7,0,5,3,NN
almoners,8,0,6,3,NN
ALOKUT,6,0,NULL,NULL,NULL
abed,4,4.96,4,2,RB
alopecia,8,3.81,7,4,NN
ALORS,5,6.84,NULL,NULL,NULL
alpaca,6,4.32,6,3,NN
alpacas,7,2.71,7,3,NN
alpenhorn,9,2.08,9,3,NN
alpenhorns,10,0,10,3,NN
alpenstock,10,1.1,9,3,NN
alpenstocks,11,0,10,3,NN
ALPERS,6,4.29,5,2,NULL
ALPERT,6,6.64,5,2,NN
ALPERTS,7,1.79,NULL,NULL,NULL
aberrant,8,5.11,7,3,JJ
alphabets,9,5.94,8,3,NN
ALPHARETTA,10,5.21,7,4,NULL
alphas,6,6.97,5,2,NN
ALPHONSE,8,5.08,6,2,NN
alpinism,8,1.1,9,4,NN
alpinist,8,2.2,8,3,NN
alpinists,9,2.3,9,3,NULL
ALREADEH,8,0,NULL,NULL,NULL
Alsace,6,4.94,5,2,NN
abet,4,4.39,4,2,VB
Alsatians,9,2.83,8,3,NN
ALSING,6,0.69,5,2,NULL
ALSOP,5,3.87,5,2,NN
ALTAIRIANS,10,0,9,3,NN
altarpieces,11,0,9,4,NN
altars,6,5.29,5,2,NN
ALTENBURG,9,3.58,8,3,NULL
abets,5,2.64,5,2,VB
abetted,7,4.88,6,3,VB
abetting,8,5.33,6,3,VB
abeyant,7,0,6,2,JJ
altercations,12,3.66,9,4,NN
abhor,5,5.95,5,2,VB
alternations,12,3.78,9,4,NN
alternators,11,4.79,9,4,NN
ALTHAUS,7,4.61,6,2,NULL
ALTHEA,6,4.01,5,2,NN
ALTHO,5,6.57,NULL,NULL,NULL
altimeter,9,5.64,8,4,NN
altimeters,10,3.85,9,4,NN
altitudes,9,6.48,8,3,NN
ALTON,5,6.03,5,2,NN
altos,5,7.03,5,2,NN
altruisms,9,0.69,9,4,NN
abhorred,8,4.47,6,2,VB
altruists,9,3.43,9,3,NN
alumna,6,3.22,6,3,NN
alumnus,7,6.07,7,3,NN
ALUNDUM,7,0,7,3,NN
ALUSIK,6,2.4,NULL,NULL,NULL
ALUSIK'S,8,0,NULL,NULL,NULL
ALVA,4,5,4,2,NN
ALVAREZ,7,7.11,7,3,NN
ALVEAR,6,2.48,5,2,NULL
alveolars,9,0,8,3,NN
ALVIN,5,7.37,5,2,NN
ALVISE,6,0.69,NULL,NULL,NULL
ALWIN,5,4.01,5,2,NN
alyssum,7,2.48,6,3,NN
alyssums,8,0,7,3,NN
AMADEE,6,0,NULL,NULL,NULL
AMADEE'S,8,0,NULL,NULL,NULL
AMADO,5,5.4,5,3,NULL
amah,4,0,3,2,NN
amahs,5,0,4,2,NULL
amalgam,7,6.43,7,3,NN
abhorrent,9,5.9,8,3,JJ
abhorring,9,1.1,7,3,VB
amalgamations,13,2.77,11,5,NN
amalgams,8,3.89,8,3,NN
amanuenses,10,0,10,5,NN
amanuensis,10,2.94,11,5,NN
AMARAL,6,4.63,6,3,NULL
amaryllis,9,4.14,8,4,NN
amaryllises,11,0,10,5,NN
abhors,6,4.68,6,2,VB
abide,5,7.58,4,2,VB
abided,6,3.91,6,3,VB
amateurism,10,1.95,8,5,NN
abides,6,6.09,5,2,VB
abiding,7,7.22,6,3,JJ|VB
ambassadorship,14,2.94,11,5,NN
ambassadorships,15,0.69,12,5,NULL
ambassadress,12,0,10,4,NN
ambassadresses,14,0,12,5,NN
ambergris,9,3.91,8,3,NN
abject,6,6.22,6,2,JJ
abjectly,8,3.71,8,3,RB
ambit,5,4.36,5,2,NN
ambitiousness,13,2.08,10,4,NN
ambits,6,0.69,6,2,NN
abjure,6,3.43,5,2,VB
ambiguousness,13,0,12,4,NN
AMBLER,6,4.58,5,2,NN
abjured,7,1.79,6,2,VB|JJ
abjures,7,0,6,2,VB
abjuring,8,1.61,7,3,VB|NN|JJ
ambuscades,10,1.39,9,3,NN
ABLATED,7,3,7,3,VB|JJ
ablative,8,4.28,7,3,JJ|NN
AmE,3,5.81,2,1,NULL
AMEAUX,6,0,3,2,NULL
ablaze,6,5.04,5,2,JJ
able,4,12.08,3,2,JJ
abler,5,2.83,4,2,JJ
amelioration,12,3.76,10,5,NN
ablest,6,3.14,6,3,JJ
amenities,9,6.23,8,4,NN
AMENITSKII,10,0,NULL,NULL,NULL
AMERICANEGRO,12,0,12,6,NULL
ammeters,8,1.61,6,3,NULL
